# Simulation 1 (Up to date)
# 523 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,1.343e-4,0.027,2.688,0.027,2.688,0,0,0,0,0,0,28.61,-80.6,9.792,89.707,0,0,0,4123.752,553.981,0.441,0.005,NaN,60.097,NaN,0.015,3.96e5,51.467,1.235e-8,0.328,1.099e-7,0.259,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.44e-6,9.2,66.476,90,0,5.254,15,1013.25,340.389,0.01,5.821e-4
0.02,0.002,0.303,27.66,0.303,27.66,0,0,0,0,0,0,28.61,-80.6,9.792,86.687,0,0,0,4122.661,552.89,0.44,0.005,NaN,60.087,NaN,0.015,3.957e5,154.402,1.727e-5,0.328,1.539e-4,0.259,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.885e-5,9.2,66.476,90,0,5.241,15,1013.25,340.389,0.01,7.903e-4
0.03,0.007,0.83,52.644,0.83,52.644,0,0,0,0,0,0,28.61,-80.6,9.792,80.983,0,0,0,4121.57,551.799,0.44,0.005,NaN,60.078,NaN,0.016,3.991e5,257.336,3.321e-4,0.327,0.003,0.259,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.062e-4,9.2,66.476,90,0,5.229,15,1013.249,340.389,0.01,9.505e-4
0.04,0.02,1.606,77.641,1.606,77.641,0,0,0,0,0,0,28.61,-80.6,9.792,72.889,0,0,0,4120.478,550.707,0.44,0.005,NaN,60.068,NaN,0.016,4.115e5,360.27,0.002,0.326,0.018,0.257,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.056e-4,9.2,66.476,90,0,5.217,15,1013.248,340.389,0.01,0.001
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.04,2.534,92.868,2.534,92.868,0,0,0,0,0,0,28.61,-80.6,9.792,64.036,0,0,0,4118.343,548.573,0.44,0.005,NaN,60.049,NaN,0.017,4.364e5,422.797,0.008,0.322,0.055,0.254,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.245e-4,9.2,66.476,90,0,5.205,15,1013.245,340.389,0.01,0.001
0.06,0.07,3.472,93.811,3.472,93.811,0,0,0,0,0,0,28.61,-80.6,9.792,56.237,0,0,0,4116.092,546.322,0.44,0.005,NaN,60.03,NaN,0.018,4.71e5,426.459,0.017,0.318,0.107,0.249,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.446e-4,9.2,66.476,90,0,5.194,15,1013.242,340.389,0.01,0.001
0.07,0.11,4.418,94.633,4.418,94.633,0,0,0,0,0,0,28.61,-80.6,9.792,49.558,0,0,0,4113.842,544.071,0.439,0.005,NaN,60.01,NaN,0.02,5.134e5,429.621,0.031,0.314,0.162,0.245,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.657e-4,9.2,66.476,90,0,5.184,14.999,1013.237,340.388,0.01,0.002
0.08,0.159,5.373,95.456,5.373,95.456,0,0,0,0,0,0,28.61,-80.6,9.792,43.917,0,0,0,4111.591,541.82,0.439,0.005,NaN,59.991,NaN,0.022,5.622e5,432.784,0.048,0.309,0.213,0.24,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.879e-4,9.2,66.476,90,0,5.173,14.999,1013.231,340.388,0.01,0.002
0.09,0.217,6.335,96.278,6.335,96.278,0,0,0,0,0,0,28.61,-80.6,9.792,39.179,0,0,0,4109.34,539.569,0.439,0.005,NaN,59.971,NaN,0.024,6.16e5,435.947,0.069,0.304,0.255,0.236,0.003,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.111e-4,9.2,66.476,90,0,5.163,14.999,1013.225,340.388,0.01,0.002
